index,variable,value,lat,lon
2016-01-01,28079004,0.3521739130434782,40.4238823,-3.7122567
2016-01-02,28079004,0.2916666666666667,40.4238823,-3.7122567
2016-01-03,28079004,0.3,40.4238823,-3.7122567
2016-01-04,28079004,0.18333333333333335,40.4238823,-3.7122567
2016-01-05,28079004,0.25833333333333336,40.4238823,-3.7122567
2016-01-06,28079004,0.21250000000000002,40.4238823,-3.7122567
2016-01-07,28079004,0.18333333333333335,40.4238823,-3.7122567
2016-01-08,28079004,0.2333333333333333,40.4238823,-3.7122567
2016-01-09,28079004,0.21666666666666667,40.4238823,-3.7122567
2016-01-10,28079004,0.19583333333333333,40.4238823,-3.7122567
2016-01-11,28079004,0.2041666666666667,40.4238823,-3.7122567
2016-01-12,28079004,0.29583333333333334,40.4238823,-3.7122567
2016-01-13,28079004,0.625,40.4238823,-3.7122567
2016-01-14,28079004,0.47500000000000003,40.4238823,-3.7122567
2016-01-15,28079004,0.4583333333333333,40.4238823,-3.7122567
2016-01-16,28079004,0.39166666666666666,40.4238823,-3.7122567
2016-01-17,28079004,0.45,40.4238823,-3.7122567
2016-01-18,28079004,0.3625,40.4238823,-3.7122567
2016-01-19,28079004,0.5125000000000001,40.4238823,-3.7122567
2016-01-20,28079004,0.5541666666666667,40.4238823,-3.7122567
2016-01-21,28079004,0.4458333333333333,40.4238823,-3.7122567
2016-01-22,28079004,0.5791666666666667,40.4238823,-3.7122567
2016-01-23,28079004,0.6666666666666666,40.4238823,-3.7122567
2016-01-24,28079004,0.775,40.4238823,-3.7122567
2016-01-25,28079004,0.9958333333333332,40.4238823,-3.7122567
2016-01-26,28079004,0.6916666666666668,40.4238823,-3.7122567
2016-01-27,28079004,0.5666666666666667,40.4238823,-3.7122567
2016-01-28,28079004,0.3541666666666667,40.4238823,-3.7122567
2016-01-29,28079004,0.39166666666666666,40.4238823,-3.7122567
2016-01-30,28079004,0.425,40.4238823,-3.7122567
2016-01-31,28079004,0.45,40.4238823,-3.7122567
2016-02-01,28079004,0.7291666666666666,40.4238823,-3.7122567
2016-02-02,28079004,0.8125,40.4238823,-3.7122567
2016-02-03,28079004,0.4166666666666667,40.4238823,-3.7122567
2016-02-04,28079004,0.37083333333333335,40.4238823,-3.7122567
2016-02-05,28079004,0.5875,40.4238823,-3.7122567
2016-02-06,28079004,0.4458333333333333,40.4238823,-3.7122567
2016-02-07,28079004,0.23750000000000002,40.4238823,-3.7122567
2016-02-08,28079004,0.22916666666666666,40.4238823,-3.7122567
