,index,variable,value,lat,lon
82,2016-03-23,28079004,0.39166666666666666,40.4238823,-3.7122567
83,2016-03-24,28079004,0.35000000000000003,40.4238823,-3.7122567
84,2016-03-25,28079004,0.4166666666666667,40.4238823,-3.7122567
85,2016-03-26,28079004,0.3541666666666667,40.4238823,-3.7122567
86,2016-03-27,28079004,0.23750000000000002,40.4238823,-3.7122567
87,2016-03-28,28079004,0.25416666666666665,40.4238823,-3.7122567
88,2016-03-29,28079004,0.2708333333333333,40.4238823,-3.7122567
89,2016-03-30,28079004,0.4291666666666667,40.4238823,-3.7122567
90,2016-03-31,28079004,0.2791666666666667,40.4238823,-3.7122567
91,2016-04-01,28079004,0.30833333333333335,40.4238823,-3.7122567
92,2016-04-02,28079004,0.33749999999999997,40.4238823,-3.7122567
93,2016-04-03,28079004,0.3416666666666666,40.4238823,-3.7122567
94,2016-04-04,28079004,0.35833333333333334,40.4238823,-3.7122567
95,2016-04-05,28079004,0.31666666666666665,40.4238823,-3.7122567
96,2016-04-06,28079004,0.3666666666666667,40.4238823,-3.7122567
97,2016-04-07,28079004,0.47500000000000003,40.4238823,-3.7122567
98,2016-04-08,28079004,0.27499999999999997,40.4238823,-3.7122567
99,2016-04-09,28079004,0.25416666666666665,40.4238823,-3.7122567
100,2016-04-10,28079004,0.22916666666666666,40.4238823,-3.7122567
101,2016-04-11,28079004,0.28750000000000003,40.4238823,-3.7122567
102,2016-04-12,28079004,0.2833333333333333,40.4238823,-3.7122567
103,2016-04-13,28079004,0.2916666666666667,40.4238823,-3.7122567
104,2016-04-14,28079004,0.35000000000000003,40.4238823,-3.7122567
105,2016-04-15,28079004,0.44166666666666665,40.4238823,-3.7122567
106,2016-04-16,28079004,0.24583333333333335,40.4238823,-3.7122567
107,2016-04-17,28079004,0.23750000000000002,40.4238823,-3.7122567
108,2016-04-18,28079004,0.37083333333333335,40.4238823,-3.7122567
109,2016-04-19,28079004,0.35833333333333334,40.4238823,-3.7122567
110,2016-04-20,28079004,0.35000000000000003,40.4238823,-3.7122567
111,2016-04-21,28079004,0.2833333333333333,40.4238823,-3.7122567
112,2016-04-22,28079004,0.3125,40.4238823,-3.7122567
113,2016-04-23,28079004,0.375,40.4238823,-3.7122567
114,2016-04-24,28079004,0.3333333333333333,40.4238823,-3.7122567
115,2016-04-25,28079004,0.3125,40.4238823,-3.7122567
116,2016-04-26,28079004,0.4083333333333334,40.4238823,-3.7122567
117,2016-04-27,28079004,0.4041666666666666,40.4238823,-3.7122567
118,2016-04-28,28079004,0.3125,40.4238823,-3.7122567
119,2016-04-29,28079004,0.2916666666666667,40.4238823,-3.7122567
120,2016-04-30,28079004,0.2833333333333333,40.4238823,-3.7122567
121,2016-05-01,28079004,0.2333333333333333,40.4238823,-3.7122567
122,2016-05-02,28079004,0.2791666666666667,40.4238823,-3.7122567
123,2016-05-03,28079004,0.4083333333333334,40.4238823,-3.7122567
124,2016-05-04,28079004,0.46249999999999997,40.4238823,-3.7122567
125,2016-05-05,28079004,0.3666666666666667,40.4238823,-3.7122567
126,2016-05-06,28079004,0.28750000000000003,40.4238823,-3.7122567
127,2016-05-07,28079004,0.225,40.4238823,-3.7122567
128,2016-05-08,28079004,0.23750000000000002,40.4238823,-3.7122567
129,2016-05-09,28079004,0.25,40.4238823,-3.7122567
130,2016-05-10,28079004,0.325,40.4238823,-3.7122567
131,2016-05-11,28079004,0.2708333333333333,40.4238823,-3.7122567
132,2016-05-12,28079004,0.25833333333333336,40.4238823,-3.7122567
133,2016-05-13,28079004,0.2708333333333333,40.4238823,-3.7122567
134,2016-05-14,28079004,0.30416666666666664,40.4238823,-3.7122567
135,2016-05-15,28079004,0.35000000000000003,40.4238823,-3.7122567
136,2016-05-16,28079004,0.29583333333333334,40.4238823,-3.7122567
137,2016-05-17,28079004,0.37083333333333335,40.4238823,-3.7122567
138,2016-05-18,28079004,0.43333333333333335,40.4238823,-3.7122567
139,2016-05-19,28079004,0.2708333333333333,40.4238823,-3.7122567
140,2016-05-20,28079004,0.3416666666666666,40.4238823,-3.7122567
141,2016-05-21,28079004,0.3416666666666666,40.4238823,-3.7122567
142,2016-05-22,28079004,0.22916666666666666,40.4238823,-3.7122567
143,2016-05-23,28079004,0.28750000000000003,40.4238823,-3.7122567
144,2016-05-24,28079004,0.325,40.4238823,-3.7122567
145,2016-05-25,28079004,0.2041666666666667,40.4238823,-3.7122567
146,2016-05-26,28079004,0.31666666666666665,40.4238823,-3.7122567
147,2016-05-27,28079004,0.3,40.4238823,-3.7122567
148,2016-05-28,28079004,0.22083333333333333,40.4238823,-3.7122567
149,2016-05-29,28079004,0.20000000000000004,40.4238823,-3.7122567
150,2016-05-30,28079004,0.26666666666666666,40.4238823,-3.7122567
151,2016-05-31,28079004,0.29583333333333334,40.4238823,-3.7122567
152,2016-06-01,28079004,0.30833333333333335,40.4238823,-3.7122567
153,2016-06-02,28079004,0.32916666666666666,40.4238823,-3.7122567
154,2016-06-03,28079004,0.4166666666666667,40.4238823,-3.7122567
155,2016-06-04,28079004,0.24583333333333335,40.4238823,-3.7122567
156,2016-06-05,28079004,0.2625,40.4238823,-3.7122567
157,2016-06-06,28079004,0.32083333333333336,40.4238823,-3.7122567
158,2016-06-07,28079004,0.3333333333333333,40.4238823,-3.7122567
159,2016-06-08,28079004,0.4375,40.4238823,-3.7122567
160,2016-06-09,28079004,0.39166666666666666,40.4238823,-3.7122567
161,2016-06-10,28079004,0.27499999999999997,40.4238823,-3.7122567
162,2016-06-11,28079004,0.25833333333333336,40.4238823,-3.7122567
163,2016-06-12,28079004,0.21666666666666667,40.4238823,-3.7122567
164,2016-06-13,28079004,0.23750000000000002,40.4238823,-3.7122567
165,2016-06-14,28079004,0.21250000000000002,40.4238823,-3.7122567
166,2016-06-15,28079004,0.17500000000000002,40.4238823,-3.7122567
167,2016-06-16,28079004,0.17916666666666667,40.4238823,-3.7122567
168,2016-06-17,28079004,0.23333333333333336,40.4238823,-3.7122567
169,2016-06-18,28079004,0.19583333333333333,40.4238823,-3.7122567
170,2016-06-19,28079004,0.19583333333333333,40.4238823,-3.7122567
171,2016-06-20,28079004,0.28750000000000003,40.4238823,-3.7122567
172,2016-06-21,28079004,0.24583333333333335,40.4238823,-3.7122567
173,2016-06-22,28079004,0.26666666666666666,40.4238823,-3.7122567
174,2016-06-23,28079004,0.22083333333333333,40.4238823,-3.7122567
175,2016-06-24,28079004,0.3541666666666667,40.4238823,-3.7122567
176,2016-06-25,28079004,0.24166666666666667,40.4238823,-3.7122567
177,2016-06-26,28079004,0.17916666666666667,40.4238823,-3.7122567
178,2016-06-27,28079004,0.28750000000000003,40.4238823,-3.7122567
179,2016-06-28,28079004,0.275,40.4238823,-3.7122567
180,2016-06-29,28079004,0.3333333333333333,40.4238823,-3.7122567
181,2016-06-30,28079004,0.325,40.4238823,-3.7122567
182,2016-07-01,28079004,0.2791666666666667,40.4238823,-3.7122567
183,2016-07-02,28079004,0.325,40.4238823,-3.7122567
184,2016-07-03,28079004,0.24166666666666667,40.4238823,-3.7122567
185,2016-07-04,28079004,0.22083333333333333,40.4238823,-3.7122567
186,2016-07-05,28079004,0.24583333333333335,40.4238823,-3.7122567
187,2016-07-06,28079004,0.28750000000000003,40.4238823,-3.7122567
188,2016-07-07,28079004,0.27499999999999997,40.4238823,-3.7122567
189,2016-07-08,28079004,0.2833333333333333,40.4238823,-3.7122567
190,2016-07-09,28079004,0.3458333333333334,40.4238823,-3.7122567
191,2016-07-10,28079004,0.25833333333333336,40.4238823,-3.7122567
192,2016-07-11,28079004,0.30416666666666664,40.4238823,-3.7122567
193,2016-07-12,28079004,0.22083333333333333,40.4238823,-3.7122567
194,2016-07-13,28079004,0.1875,40.4238823,-3.7122567
195,2016-07-14,28079004,0.1875,40.4238823,-3.7122567
196,2016-07-15,28079004,0.23750000000000002,40.4238823,-3.7122567
197,2016-07-16,28079004,0.25833333333333336,40.4238823,-3.7122567
198,2016-07-17,28079004,0.2791666666666667,40.4238823,-3.7122567
199,2016-07-18,28079004,0.2333333333333333,40.4238823,-3.7122567
200,2016-07-19,28079004,0.24166666666666667,40.4238823,-3.7122567
201,2016-07-20,28079004,0.25,40.4238823,-3.7122567
202,2016-07-21,28079004,0.325,40.4238823,-3.7122567
203,2016-07-22,28079004,0.22916666666666666,40.4238823,-3.7122567
204,2016-07-23,28079004,0.15833333333333335,40.4238823,-3.7122567
205,2016-07-24,28079004,0.17083333333333336,40.4238823,-3.7122567
206,2016-07-25,28079004,0.18333333333333335,40.4238823,-3.7122567
207,2016-07-26,28079004,0.225,40.4238823,-3.7122567
208,2016-07-27,28079004,0.275,40.4238823,-3.7122567
209,2016-07-28,28079004,0.2791666666666667,40.4238823,-3.7122567
210,2016-07-29,28079004,0.25,40.4238823,-3.7122567
211,2016-07-30,28079004,0.21666666666666667,40.4238823,-3.7122567
212,2016-07-31,28079004,0.18333333333333335,40.4238823,-3.7122567
213,2016-08-01,28079004,0.2041666666666667,40.4238823,-3.7122567
214,2016-08-02,28079004,0.2708333333333333,40.4238823,-3.7122567
215,2016-08-03,28079004,0.3125,40.4238823,-3.7122567
216,2016-08-04,28079004,0.2541666666666667,40.4238823,-3.7122567
217,2016-08-05,28079004,0.19166666666666668,40.4238823,-3.7122567
218,2016-08-06,28079004,0.2041666666666667,40.4238823,-3.7122567
219,2016-08-07,28079004,0.20833333333333334,40.4238823,-3.7122567
220,2016-08-08,28079004,0.21250000000000002,40.4238823,-3.7122567
221,2016-08-09,28079004,0.26666666666666666,40.4238823,-3.7122567
222,2016-08-10,28079004,0.17083333333333336,40.4238823,-3.7122567
223,2016-08-11,28079004,0.22083333333333333,40.4238823,-3.7122567
224,2016-08-12,28079004,0.225,40.4238823,-3.7122567
225,2016-08-13,28079004,0.26666666666666666,40.4238823,-3.7122567
226,2016-08-14,28079004,0.22083333333333333,40.4238823,-3.7122567
227,2016-08-15,28079004,0.19999999999999998,40.4238823,-3.7122567
228,2016-08-16,28079004,0.30416666666666664,40.4238823,-3.7122567
229,2016-08-17,28079004,0.25416666666666665,40.4238823,-3.7122567
230,2016-08-18,28079004,0.2625,40.4238823,-3.7122567
231,2016-08-19,28079004,0.25833333333333336,40.4238823,-3.7122567
232,2016-08-20,28079004,0.17083333333333336,40.4238823,-3.7122567
233,2016-08-21,28079004,0.21666666666666667,40.4238823,-3.7122567
234,2016-08-22,28079004,0.27499999999999997,40.4238823,-3.7122567
235,2016-08-23,28079004,0.32083333333333336,40.4238823,-3.7122567
236,2016-08-24,28079004,0.25833333333333336,40.4238823,-3.7122567
237,2016-08-25,28079004,0.23333333333333336,40.4238823,-3.7122567
238,2016-08-26,28079004,0.24583333333333335,40.4238823,-3.7122567
239,2016-08-27,28079004,0.27499999999999997,40.4238823,-3.7122567
240,2016-08-28,28079004,0.35000000000000003,40.4238823,-3.7122567
241,2016-08-29,28079004,0.27499999999999997,40.4238823,-3.7122567
242,2016-08-30,28079004,0.21250000000000002,40.4238823,-3.7122567
243,2016-08-31,28079004,0.29583333333333334,40.4238823,-3.7122567
244,2016-09-01,28079004,0.26666666666666666,40.4238823,-3.7122567
245,2016-09-02,28079004,0.35833333333333334,40.4238823,-3.7122567
246,2016-09-03,28079004,0.37083333333333335,40.4238823,-3.7122567
247,2016-09-04,28079004,0.3958333333333333,40.4238823,-3.7122567
248,2016-09-05,28079004,0.4875,40.4238823,-3.7122567
249,2016-09-06,28079004,0.425,40.4238823,-3.7122567
250,2016-09-07,28079004,0.45,40.4238823,-3.7122567
251,2016-09-08,28079004,0.3666666666666667,40.4238823,-3.7122567
252,2016-09-09,28079004,0.25833333333333336,40.4238823,-3.7122567
253,2016-09-10,28079004,0.3,40.4238823,-3.7122567
254,2016-09-11,28079004,0.35833333333333334,40.4238823,-3.7122567
255,2016-09-12,28079004,0.45416666666666666,40.4238823,-3.7122567
256,2016-09-13,28079004,0.21250000000000002,40.4238823,-3.7122567
257,2016-09-14,28079004,0.19999999999999998,40.4238823,-3.7122567
258,2016-09-15,28079004,0.19999999999999998,40.4238823,-3.7122567
259,2016-09-16,28079004,0.23750000000000002,40.4238823,-3.7122567
260,2016-09-17,28079004,0.25416666666666665,40.4238823,-3.7122567
261,2016-09-18,28079004,0.22916666666666666,40.4238823,-3.7122567
262,2016-09-19,28079004,0.325,40.4238823,-3.7122567
263,2016-09-20,28079004,0.3541666666666667,40.4238823,-3.7122567
264,2016-09-21,28079004,0.375,40.4238823,-3.7122567
265,2016-09-22,28079004,0.4375,40.4238823,-3.7122567
266,2016-09-23,28079004,0.4916666666666667,40.4238823,-3.7122567
267,2016-09-24,28079004,0.4583333333333333,40.4238823,-3.7122567
268,2016-09-25,28079004,0.43333333333333335,40.4238823,-3.7122567
269,2016-09-26,28079004,0.2625,40.4238823,-3.7122567
270,2016-09-27,28079004,0.30833333333333335,40.4238823,-3.7122567
271,2016-09-28,28079004,0.24166666666666667,40.4238823,-3.7122567
272,2016-09-29,28079004,0.4166666666666667,40.4238823,-3.7122567
273,2016-09-30,28079004,0.48333333333333334,40.4238823,-3.7122567
274,2016-10-01,28079004,0.44166666666666665,40.4238823,-3.7122567
275,2016-10-02,28079004,0.31666666666666665,40.4238823,-3.7122567
276,2016-10-03,28079004,0.5458333333333333,40.4238823,-3.7122567
277,2016-10-04,28079004,0.625,40.4238823,-3.7122567
278,2016-10-05,28079004,0.5791666666666667,40.4238823,-3.7122567
279,2016-10-06,28079004,0.6,40.4238823,-3.7122567
280,2016-10-07,28079004,0.525,40.4238823,-3.7122567
281,2016-10-08,28079004,0.6916666666666668,40.4238823,-3.7122567
282,2016-10-09,28079004,0.4083333333333334,40.4238823,-3.7122567
283,2016-10-10,28079004,0.37916666666666665,40.4238823,-3.7122567
284,2016-10-11,28079004,0.37916666666666665,40.4238823,-3.7122567
285,2016-10-12,28079004,0.2833333333333333,40.4238823,-3.7122567
286,2016-10-13,28079004,0.20833333333333334,40.4238823,-3.7122567
