,ensayo_1,ensayo_1,ensayo_1,ensayo_1,ensayo_1,ensayo_1,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_10,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_12,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_14,ensayo_20,ensayo_20,ensayo_20,ensayo_20,ensayo_30,ensayo_30,ensayo_30,ensayo_30,ensayo_42,ensayo_42,ensayo_42,ensayo_42,ensayo_44,ensayo_44,ensayo_44,ensayo_44,ensayo_6,ensayo_6,ensayo_6,ensayo_6,ensayo_6,ensayo_6,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_7,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_8,ensayo_9,ensayo_9,ensayo_9,ensayo_9,ensayo_9,ensayo_9,ensayo_9,ensayo_9
punto_muestreo,28005002,28016001,28047002,28092005,28102001,28171001,28005002,28006004,28013002,28014002,28016001,28045002,28049003,28058004,28065014,28067001,28074007,28080003,28092005,28102001,28123002,28148004,28171001,28005002,28006004,28007004,28009001,28013002,28014002,28016001,28045002,28047002,28049003,28058004,28065014,28067001,28074007,28080003,28092005,28102001,28123002,28133002,28148004,28161001,28171001,28180001,28005002,28006004,28007004,28009001,28013002,28014002,28016001,28045002,28047002,28049003,28058004,28065014,28067001,28074007,28080003,28092005,28102001,28123002,28133002,28148004,28161001,28171001,28180001,28006004,28016001,28047002,28058004,28006004,28016001,28047002,28058004,28006004,28016001,28047002,28058004,28006004,28016001,28047002,28058004,28005002,28016001,28045002,28092005,28102001,28171001,28005002,28006004,28007004,28009001,28013002,28014002,28016001,28045002,28047002,28049003,28058004,28065014,28067001,28074007,28080003,28092005,28102001,28123002,28133002,28148004,28161001,28171001,28180001,28005002,28006004,28007004,28009001,28013002,28014002,28016001,28045002,28047002,28049003,28058004,28065014,28067001,28074007,28080003,28092005,28102001,28123002,28133002,28148004,28161001,28171001,28180001,28007004,28009001,28016001,28047002,28148004,28161001,28171001,28180001
miDt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-01 01:00:00,1.0,1.0,2.0,1.0,1.0,1.0,13.0,21.0,36.0,16.0,14.0,19.0,11.0,17.0,22.0,15.0,12.0,9.0,16.0,10.0,20.0,17.0,21.0,7.0,4.0,14.0,5.0,24.0,6.0,4.0,6.0,39.0,11.0,12.0,10.0,10.0,8.0,5.0,12.0,4.0,15.0,6.0,6.0,23.0,15.0,5.0,54.0,59.0,52.0,57.0,39.0,58.0,70.0,66.0,45.0,53.0,50.0,52.0,50.0,54.0,65.0,49.0,63.0,52.5,80.0,52.0,47.0,64.0,62.0,0.1,0.1,0.5,2.2,0.1,0.1,0.7,0.1,6.3,5.7,5.5,5.8,0.1,0.4,0.6,0.5,0.5,0.1,0.1,0.2,0.3,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,12.0,3.0,22.0,4.0,2.0,4.0,34.0,8.0,10.0,8.0,8.0,6.0,3.0,10.0,2.0,12.0,4.0,4.0,21.0,13.0,3.0,7.0,8.0,13.0,17.0,10.0,17.0,11.0,9.0
2016-08-01 02:00:00,3.0,1.0,1.0,1.0,1.0,1.0,8.0,17.0,33.0,8.0,16.0,17.0,12.0,11.0,20.0,19.0,8.0,11.0,15.0,8.0,16.0,25.0,22.0,13.0,4.0,13.0,4.0,20.0,7.0,5.0,6.0,26.0,9.0,11.0,12.0,12.0,9.0,5.0,10.0,4.0,12.0,6.0,6.0,26.0,17.0,5.0,45.0,58.0,48.0,55.5,37.0,51.0,67.0,66.0,53.0,52.0,46.0,47.0,41.0,50.0,61.0,46.0,61.0,51.5,74.0,49.0,31.0,60.0,59.0,0.1,0.1,1.3,1.7,0.1,0.1,1.0,0.1,6.3,5.7,5.6,5.8,0.1,0.4,0.6,0.5,0.5,0.1,0.1,0.2,0.2,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,11.0,2.0,11.0,2.0,18.0,5.0,3.0,4.0,21.0,7.0,9.0,10.0,10.0,7.0,3.0,8.0,2.0,9.0,4.0,4.0,24.0,15.0,3.0,4.0,6.0,13.0,15.0,7.0,11.0,16.0,9.0
2016-08-01 03:00:00,5.0,1.0,1.0,1.0,1.0,1.0,13.0,15.0,26.0,9.0,17.0,16.0,13.0,8.0,14.0,14.0,13.0,12.0,18.0,11.0,12.0,10.0,22.0,17.0,4.0,10.0,4.0,12.0,13.0,5.0,5.0,16.0,13.0,11.0,13.0,11.0,11.0,4.0,7.0,4.0,11.0,6.0,6.0,19.0,12.0,4.0,37.0,57.0,49.0,54.0,46.0,41.0,65.0,70.0,57.0,49.0,45.0,44.0,44.0,46.0,60.0,47.0,62.0,50.5,68.0,48.0,34.0,62.0,57.0,0.1,0.1,0.1,2.0,0.1,0.1,0.1,0.1,6.3,5.7,5.5,5.8,0.1,0.4,0.6,0.5,0.5,0.1,0.1,0.2,0.3,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,15.0,2.0,8.0,2.0,10.0,11.0,3.0,3.0,11.0,10.0,9.0,11.0,9.0,9.0,2.0,5.0,2.0,8.0,4.0,4.0,17.0,10.0,2.0,7.0,4.0,12.0,9.0,9.0,14.0,7.0,9.0
2016-08-01 04:00:00,3.0,1.0,1.0,1.0,1.0,1.0,13.0,12.0,19.0,18.0,15.0,11.0,14.0,10.0,10.0,15.0,10.0,12.0,15.0,7.0,11.0,12.0,14.0,20.0,5.0,9.0,5.0,9.0,18.0,6.0,9.0,26.0,14.0,13.0,12.0,12.0,10.0,5.0,6.0,4.0,10.0,8.0,7.0,15.0,12.0,12.0,33.0,54.0,48.0,53.0,47.0,36.0,62.0,69.0,44.0,46.0,42.0,45.0,37.0,44.0,60.0,47.0,63.0,47.5,59.0,44.0,37.0,59.0,53.0,0.1,0.1,0.1,2.9,0.1,0.1,0.1,0.1,6.3,5.8,5.5,5.8,0.1,0.4,0.6,0.5,0.5,0.1,0.1,0.2,0.2,0.3,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,18.0,3.0,7.0,3.0,7.0,15.0,4.0,6.0,20.0,11.0,11.0,10.0,10.0,8.0,3.0,4.0,2.0,8.0,6.0,5.0,13.0,10.0,7.0,9.0,2.0,10.0,11.0,7.0,9.0,8.0,5.0
2016-08-01 05:00:00,3.0,1.0,2.0,1.0,1.0,1.0,14.0,16.0,14.0,14.0,12.0,16.0,13.0,10.0,11.0,9.0,14.0,12.0,12.0,8.0,11.0,8.0,21.0,32.0,8.0,20.0,5.0,11.0,27.0,7.0,24.0,50.0,40.0,21.0,21.0,13.0,17.0,7.0,13.0,4.0,18.0,9.0,10.0,28.0,13.0,8.0,25.0,51.0,37.0,52.0,40.0,28.0,56.0,51.0,27.0,34.0,35.0,36.0,33.0,38.0,57.0,38.0,62.0,42.5,55.0,40.0,25.0,55.0,54.0,0.1,0.1,0.6,3.6,0.1,0.1,0.7,0.2,6.3,5.8,5.5,5.8,0.1,0.4,0.6,0.5,0.5,0.1,0.2,0.2,0.2,0.3,3.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,8.0,9.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,27.0,6.0,18.0,3.0,9.0,22.0,5.0,16.0,38.0,26.0,18.0,19.0,11.0,14.0,4.0,11.0,2.0,13.0,7.0,8.0,26.0,11.0,6.0,7.0,3.0,7.0,11.0,4.0,8.0,7.0,6.0
2016-08-01 06:00:00,3.0,1.0,2.0,1.0,1.0,1.0,12.0,8.0,13.0,20.0,11.0,17.0,16.0,12.0,9.0,15.0,13.0,14.0,12.0,7.0,16.0,14.0,28.0,35.0,15.0,31.0,9.0,15.0,39.0,8.0,26.0,91.0,69.0,37.0,32.0,17.0,32.0,13.0,20.0,4.0,42.0,11.0,17.0,49.0,15.0,9.0,22.0,46.0,29.0,48.5,33.0,20.0,53.0,58.0,11.0,20.0,24.0,27.0,25.0,28.0,52.0,30.0,60.0,29.5,58.0,32.0,12.0,54.0,52.0,0.1,0.1,1.5,4.0,0.1,0.1,1.7,0.3,6.3,5.9,5.6,5.9,0.1,0.4,0.6,0.5,0.5,0.1,0.2,0.3,0.3,0.3,4.0,2.0,2.0,2.0,1.0,5.0,1.0,5.0,18.0,20.0,5.0,2.0,2.0,4.0,1.0,1.0,1.0,9.0,1.0,1.0,5.0,1.0,1.0,29.0,12.0,28.0,6.0,13.0,31.0,6.0,18.0,63.0,38.0,29.0,29.0,14.0,26.0,11.0,18.0,2.0,28.0,9.0,15.0,41.0,13.0,7.0,8.0,4.0,5.0,13.0,7.0,9.0,6.0,2.0
2016-08-01 07:00:00,2.0,1.0,3.0,1.0,1.0,1.0,16.0,9.0,22.0,22.0,12.0,10.0,18.0,17.0,19.0,27.0,18.0,9.0,12.0,14.0,18.0,17.0,34.0,50.0,12.0,47.0,8.0,12.0,32.0,8.0,39.0,115.0,77.0,62.0,42.0,26.0,37.0,16.0,26.0,4.0,53.0,10.0,26.0,33.0,17.0,9.0,21.0,50.0,26.0,47.0,33.0,30.0,59.0,48.0,11.0,24.0,22.0,27.0,27.0,29.0,52.0,28.0,58.0,26.0,57.0,30.0,25.0,52.0,52.0,0.1,0.1,2.6,4.6,0.1,0.1,2.3,0.6,6.3,5.9,5.7,5.9,0.1,0.5,0.7,0.6,0.5,0.1,0.2,0.3,0.2,0.3,11.0,2.0,7.0,1.0,1.0,6.0,1.0,7.0,31.0,27.0,17.0,7.0,3.0,6.0,2.0,3.0,1.0,13.0,1.0,5.0,5.0,1.0,1.0,33.0,9.0,36.0,6.0,10.0,23.0,6.0,28.0,67.0,36.0,36.0,31.0,21.0,28.0,13.0,21.0,2.0,33.0,8.0,18.0,25.0,15.0,7.0,7.0,6.0,8.0,17.0,9.0,11.0,13.0,2.0
2016-08-01 08:00:00,5.0,39.0,2.0,1.0,1.0,1.0,15.0,15.0,32.0,24.0,39.0,17.0,23.0,21.0,22.0,34.0,18.0,12.0,14.0,19.0,65.0,12.0,13.0,58.0,11.0,46.0,7.0,10.0,26.0,39.0,31.0,50.0,64.0,51.0,36.0,23.0,46.0,12.0,34.0,5.0,65.0,9.0,18.0,23.0,17.0,15.0,24.0,54.0,31.0,55.0,47.0,41.0,39.0,60.0,46.0,32.0,31.0,38.0,50.0,32.0,58.0,28.0,65.0,65.0,64.0,39.0,41.0,62.0,66.0,0.1,39.0,7.9,8.1,0.1,39.0,2.2,1.0,6.3,39.0,5.7,6.0,0.1,39.0,0.7,0.6,0.5,39.0,0.2,0.3,0.2,0.3,16.0,2.0,7.0,1.0,1.0,6.0,39.0,7.0,11.0,21.0,13.0,7.0,4.0,11.0,2.0,6.0,1.0,65.0,1.0,3.0,4.0,1.0,2.0,33.0,8.0,35.0,5.0,8.0,17.0,39.0,20.0,33.0,32.0,31.0,25.0,17.0,29.0,9.0,25.0,3.0,65.0,7.0,13.0,17.0,15.0,12.0,8.0,7.0,39.0,16.0,10.0,11.0,13.0,8.0
