,28079008,28079011,28079018,28079024,28079038,28079055
2016-12-04 20:00:00,0.9,3.4,,0.5,1.1,0.8
2016-12-04 21:00:00,1.3,3.4,,0.5,1.6,1.0
2016-12-04 22:00:00,2.7,3.2,,0.6,1.8,0.8
2016-12-04 23:00:00,2.4,3.0,,0.8,1.3,0.8
2016-12-05 00:00:00,2.0,2.6,,0.8,2.1,0.8
2016-12-05 01:00:00,1.4,1.9,,0.6,1.8,0.8
2016-12-05 02:00:00,1.0,1.2,,0.5,0.7,0.5
2016-12-05 03:00:00,0.9,0.9,,0.3,0.4,0.4
2016-12-05 04:00:00,1.5,0.8,,0.3,0.4,0.4
2016-12-05 05:00:00,0.7,0.8,,0.2,0.3,0.5
2016-12-05 06:00:00,0.7,0.8,,0.2,0.4,0.5
2016-12-05 07:00:00,0.7,0.8,,0.2,0.4,0.5
2016-12-05 08:00:00,1.0,1.2,,0.2,1.0,0.5
2016-12-05 09:00:00,1.5,2.0,,0.4,4.1,0.9
2016-12-05 10:00:00,3.4,3.7,,0.7,4.1,1.3
2016-12-05 11:00:00,3.3,4.2,,0.9,4.8,1.2
2016-12-05 12:00:00,2.7,3.8,,0.9,9.9,1.2
2016-12-05 13:00:00,4.4,4.3,,1.0,9.0,1.7
2016-12-05 14:00:00,4.3,6.0,,1.2,6.8,1.2
2016-12-05 15:00:00,4.0,4.4,,0.9,6.4,1.1
2016-12-05 16:00:00,3.5,4.4,,0.6,5.5,0.7
2016-12-05 17:00:00,4.8,5.5,,0.8,5.7,1.6
2016-12-05 18:00:00,4.8,4.6,,1.0,8.3,0.7
2016-12-05 19:00:00,5.8,4.7,,1.2,7.7,1.1
2016-12-05 20:00:00,4.4,3.8,,1.4,5.4,0.7
2016-12-05 21:00:00,4.0,2.6,,0.8,3.6,0.7
2016-12-05 22:00:00,3.0,2.3,,0.6,3.6,0.5
2016-12-05 23:00:00,2.0,2.1,,0.5,3.4,0.6
2016-12-06 00:00:00,1.7,1.9,,0.4,2.5,0.6
2016-12-06 01:00:00,3.4,1.8,,0.3,1.8,0.6
2016-12-06 02:00:00,4.5,1.8,,0.2,1.2,0.5
2016-12-06 03:00:00,2.8,1.7,,0.2,1.8,0.4
2016-12-06 04:00:00,1.8,1.5,,0.2,2.4,0.5
2016-12-06 05:00:00,1.5,1.3,,0.2,2.5,0.4
2016-12-06 06:00:00,1.7,1.6,,0.3,1.5,0.5
2016-12-06 07:00:00,1.7,1.2,,0.3,0.6,0.9
2016-12-06 08:00:00,1.0,1.2,,0.4,0.8,0.7
2016-12-06 09:00:00,1.1,2.9,,0.2,1.0,0.6
2016-12-06 10:00:00,1.5,2.9,,0.2,2.7,0.9
2016-12-06 11:00:00,2.2,3.6,,0.5,2.5,9.6
2016-12-06 12:00:00,1.6,2.6,,0.6,1.9,1.8
2016-12-06 13:00:00,2.1,2.1,,1.0,1.6,1.7
2016-12-06 14:00:00,2.6,3.3,,1.3,2.8,1.1
2016-12-06 15:00:00,2.4,4.7,,2.4,2.2,1.6
2016-12-06 16:00:00,2.5,4.0,,2.7,3.2,1.2
2016-12-06 17:00:00,2.9,4.1,,2.8,2.9,1.0
2016-12-06 18:00:00,3.5,3.9,,3.2,3.6,3.0
2016-12-06 19:00:00,3.6,5.2,,3.6,6.2,3.1
2016-12-06 20:00:00,3.8,10.1,,4.5,7.6,6.9
2016-12-06 21:00:00,5.6,10.9,,4.5,10.0,7.9
2016-12-06 22:00:00,11.1,10.1,,3.7,13.5,7.3
2016-12-06 23:00:00,10.9,9.5,,2.9,17.2,7.6
2016-12-07 00:00:00,9.3,12.7,,2.3,12.3,5.3
2016-12-07 01:00:00,9.5,11.1,,3.8,9.8,4.9
2016-12-07 02:00:00,14.5,11.5,,3.5,10.6,4.2
2016-12-07 03:00:00,8.5,8.4,,3.3,9.4,2.5
2016-12-07 04:00:00,3.8,5.1,,4.1,4.2,1.9
2016-12-07 05:00:00,2.5,4.9,,6.4,3.7,1.6
2016-12-07 06:00:00,2.9,5.1,,4.4,2.6,1.4
2016-12-07 07:00:00,2.1,3.9,,4.6,2.8,1.1
2016-12-07 08:00:00,2.2,3.8,,4.3,4.5,1.9
2016-12-07 09:00:00,3.4,5.2,,4.1,8.7,2.2
2016-12-07 10:00:00,5.7,6.5,,5.1,5.4,2.3
2016-12-07 11:00:00,6.4,6.9,,5.2,10.0,3.5
2016-12-07 12:00:00,8.2,6.5,,4.1,10.6,2.6
2016-12-07 13:00:00,5.6,6.8,,6.7,12.1,3.2
2016-12-07 14:00:00,4.0,7.6,,5.9,9.4,2.8
2016-12-07 15:00:00,5.4,7.7,,3.7,7.7,4.7
2016-12-07 16:00:00,7.8,7.8,,3.6,5.9,4.2
2016-12-07 17:00:00,7.5,7.7,,3.1,5.8,4.0
2016-12-07 18:00:00,6.2,7.9,,2.7,4.6,4.0
2016-12-07 19:00:00,5.1,7.6,,3.2,6.1,6.1
2016-12-07 20:00:00,6.3,7.9,,4.0,11.4,8.1
2016-12-07 21:00:00,12.4,9.3,,5.1,4.8,8.4
2016-12-07 22:00:00,14.8,12.1,,4.3,2.6,8.8
2016-12-07 23:00:00,10.2,11.8,,5.8,7.4,7.5
2016-12-08 00:00:00,12.5,15.6,,6.3,7.9,7.1
2016-12-08 01:00:00,13.8,14.0,,5.4,9.8,6.3
2016-12-08 02:00:00,13.6,10.2,,5.8,10.6,7.0
2016-12-08 03:00:00,13.1,9.4,,6.7,9.4,4.9
2016-12-08 04:00:00,6.8,8.4,,6.2,4.2,3.2
2016-12-08 05:00:00,3.9,6.6,,5.4,3.7,3.0
2016-12-08 06:00:00,3.7,5.9,,6.0,2.6,3.4
2016-12-08 07:00:00,2.6,5.9,,5.9,2.8,3.1
2016-12-08 08:00:00,2.4,5.6,,5.1,4.5,3.3
2016-12-08 09:00:00,2.7,5.9,,4.7,8.7,2.9
2016-12-08 10:00:00,4.1,7.0,,5.2,5.4,3.2
2016-12-08 11:00:00,6.0,6.4,,4.5,10.0,3.1
2016-12-08 12:00:00,3.3,4.6,,3.0,10.6,3.1
2016-12-08 13:00:00,2.3,3.2,,1.7,12.1,2.5
2016-12-08 14:00:00,2.2,2.9,,1.2,9.4,1.6
2016-12-08 15:00:00,1.4,2.5,,0.9,7.7,1.2
2016-12-08 16:00:00,1.2,2.8,,0.8,5.9,1.5
2016-12-08 17:00:00,1.1,3.1,,0.6,5.8,1.8
2016-12-08 18:00:00,1.8,3.7,,0.5,4.6,2.1
2016-12-08 19:00:00,1.8,3.5,,0.6,6.1,2.0
2016-12-08 20:00:00,3.0,4.9,,0.6,11.4,3.2
2016-12-08 21:00:00,3.7,6.2,,1.0,4.8,3.1
2016-12-08 22:00:00,5.9,6.4,,1.1,2.6,4.1
2016-12-08 23:00:00,5.2,6.7,,1.3,7.4,4.3
2016-12-09 00:00:00,3.3,5.3,,1.6,7.9,3.8
2016-12-09 01:00:00,2.8,5.5,,1.5,9.8,4.1
2016-12-09 02:00:00,1.9,4.8,,1.5,10.6,3.2
2016-12-09 03:00:00,1.7,3.7,,1.6,9.4,1.8
2016-12-09 04:00:00,1.5,3.5,,1.6,4.2,1.1
2016-12-09 05:00:00,1.4,3.9,,1.5,3.7,1.4
2016-12-09 06:00:00,2.1,4.1,,1.0,2.6,2.0
2016-12-09 07:00:00,2.1,5.9,,0.9,2.8,2.9
2016-12-09 08:00:00,2.5,4.1,,1.2,4.5,4.3
2016-12-09 09:00:00,3.3,5.3,,1.2,8.7,5.6
2016-12-09 10:00:00,4.3,6.7,,1.3,5.4,3.8
2016-12-09 11:00:00,4.4,6.0,,2.0,10.0,4.2
2016-12-09 12:00:00,4.0,5.3,,2.6,5.3,3.9
2016-12-09 13:00:00,3.9,4.3,,4.4,5.3,2.7
2016-12-09 14:00:00,3.8,4.0,,3.1,2.4,3.2
2016-12-09 15:00:00,3.4,3.5,,2.6,3.4,3.5
2016-12-09 16:00:00,2.7,3.7,,2.1,6.2,2.8
2016-12-09 17:00:00,3.5,4.3,,1.3,3.8,1.1
2016-12-09 18:00:00,4.2,6.1,,1.2,4.9,1.2
2016-12-09 19:00:00,5.3,6.2,,0.5,8.1,1.8
2016-12-09 20:00:00,5.8,6.1,,1.2,8.5,2.7
2016-12-09 21:00:00,5.5,6.2,,1.5,7.9,3.4
