,28079008,28079024,28079055
2018-12-01 01:00:00,1.74,1.44,1.49
2018-12-01 02:00:00,1.83,1.43,1.64
2018-12-01 03:00:00,1.86,1.46,1.69
2018-12-01 04:00:00,1.86,1.46,1.66
2018-12-01 05:00:00,1.9,1.47,1.84
2018-12-01 06:00:00,1.93,1.45,1.84
2018-12-01 07:00:00,1.92,1.41,1.56
2018-12-01 08:00:00,1.94,1.41,1.54
2018-12-01 09:00:00,1.86,1.43,1.64
2018-12-01 10:00:00,1.74,1.51,1.56
2018-12-01 11:00:00,2.01,1.77,1.59
2018-12-01 12:00:00,2.13,1.94,1.6
2018-12-01 13:00:00,2.19,1.81,1.62
2018-12-01 14:00:00,2.4,1.55,1.91
2018-12-01 15:00:00,2.14,1.54,2.13
2018-12-01 16:00:00,1.74,1.38,1.7
2018-12-01 17:00:00,1.59,1.34,1.49
2018-12-01 18:00:00,1.59,1.34,1.54
2018-12-01 19:00:00,1.6,1.35,1.62
2018-12-01 20:00:00,1.64,1.35,1.52
2018-12-01 21:00:00,1.68,1.35,1.59
2018-12-01 22:00:00,1.72,1.36,2.2
2018-12-01 23:00:00,1.77,1.37,2.33
2018-12-02 00:00:00,1.7,1.37,2.26
2018-12-02 01:00:00,1.88,1.35,2.69
2018-12-02 02:00:00,2.06,1.35,2.1
2018-12-02 03:00:00,2.32,1.39,1.67
2018-12-02 04:00:00,2.32,1.43,1.66
2018-12-02 05:00:00,2.25,1.45,1.72
2018-12-02 06:00:00,2.22,1.49,1.77
2018-12-02 07:00:00,2.33,1.52,1.81
2018-12-02 08:00:00,2.31,1.63,1.76
2018-12-02 09:00:00,2.32,1.64,1.77
2018-12-02 10:00:00,2.1,1.72,1.75
2018-12-02 11:00:00,2.11,1.85,1.61
2018-12-02 12:00:00,1.93,2.08,1.56
2018-12-02 13:00:00,1.91,1.95,1.57
2018-12-02 14:00:00,1.94,1.81,1.59
2018-12-02 15:00:00,1.86,1.73,1.74
2018-12-02 16:00:00,1.81,1.64,1.94
2018-12-02 17:00:00,1.83,1.6,1.9
2018-12-02 18:00:00,1.84,1.58,1.79
2018-12-02 19:00:00,1.83,1.59,1.77
2018-12-02 20:00:00,1.87,1.57,1.55
2018-12-02 21:00:00,1.97,1.58,1.55
2018-12-02 22:00:00,1.93,1.55,1.57
2018-12-02 23:00:00,1.86,1.55,1.64
2018-12-03 00:00:00,1.99,1.54,1.72
2018-12-03 01:00:00,2.38,1.42,1.76
2018-12-03 02:00:00,2.03,1.43,1.83
2018-12-03 03:00:00,1.9,1.44,1.57
2018-12-03 04:00:00,1.75,1.41,1.54
2018-12-03 05:00:00,1.94,1.39,1.51
2018-12-03 06:00:00,1.8,1.41,1.48
2018-12-03 07:00:00,1.77,1.44,1.48
2018-12-03 08:00:00,1.76,1.45,1.48
2018-12-03 09:00:00,1.8,1.45,1.51
2018-12-03 10:00:00,1.81,1.45,1.5
2018-12-03 11:00:00,1.8,1.47,1.49
2018-12-03 12:00:00,1.82,1.51,1.49
2018-12-03 13:00:00,1.84,1.54,1.5
2018-12-03 14:00:00,1.81,1.54,1.49
2018-12-03 15:00:00,1.82,1.73,1.49
2018-12-03 16:00:00,1.83,1.55,1.5
2018-12-03 17:00:00,1.84,1.56,1.51
2018-12-03 18:00:00,1.88,1.54,1.53
2018-12-03 19:00:00,1.89,1.54,1.53
2018-12-03 20:00:00,1.93,1.55,1.51
2018-12-03 21:00:00,1.89,1.57,1.53
2018-12-03 22:00:00,1.94,1.53,1.51
2018-12-03 23:00:00,1.88,1.54,1.49
2018-12-04 00:00:00,1.83,1.51,1.46
2018-12-04 01:00:00,1.75,1.5,1.46
2018-12-04 02:00:00,1.7,1.5,1.43
2018-12-04 03:00:00,1.69,1.46,1.49
2018-12-04 04:00:00,1.69,1.43,1.5
2018-12-04 05:00:00,1.7,1.42,1.51
2018-12-04 06:00:00,1.68,1.42,1.58
