,28079004,28079008,28079035,28079036,28079057,28079008,28079018,28079024,28079036,28079038,28079040,28079047,28079048,28079050,28079055,28079056,28079057,28079060,28079004,28079008,28079011,28079016,28079017,28079018,28079024,28079027,28079035,28079036,28079038,28079039,28079040,28079047,28079048,28079049,28079050,28079054,28079055,28079056,28079057,28079058,28079059,28079060,28079008,28079016,28079017,28079018,28079024,28079027,28079035,28079039,28079049,28079054,28079058,28079059,28079060,28079008,28079011,28079018,28079024,28079038,28079055,28079008,28079011,28079018,28079024,28079038,28079055,28079004,28079008,28079018,28079035,28079056,28079004,28079008,28079011,28079016,28079017,28079018,28079024,28079027,28079035,28079036,28079038,28079039,28079040,28079047,28079048,28079049,28079050,28079054,28079055,28079056,28079057,28079058,28079059,28079060,28079004,28079008,28079011,28079016,28079017,28079018,28079024,28079027,28079035,28079036,28079038,28079039,28079040,28079047,28079048,28079049,28079050,28079054,28079055,28079056,28079057,28079058,28079059,28079060,28079008,28079024,28079038,28079047,28079048,28079050,28079056
2021-06-01 10:00:00,12.0,4.0,5.0,5.0,2.0,32.0,24.0,26.0,31.0,35.0,30.0,40.0,52.0,41.0,70.0,20.0,20.0,25.0,75.0,71.0,87.0,58.0,49.0,53.0,43.0,39.0,62.0,67.0,90.0,55.0,57.0,49.0,75.0,52.0,51.0,67.0,72.0,97.0,46.0,25.0,44.0,41.0,19.04,18.83,17.81,23.22,20.45,21.61,21.8,19.26,16.71,13.33,27.54,19.77,28.66,2.3,0.6,1.0,39.12,1.2,0.9,0.4,0.2,0.2,0.1,0.5,0.1,0.3,,0.4,0.3,0.2,20.0,19.0,25.0,15.0,10.0,13.0,11.0,8.0,15.0,16.0,28.0,12.0,14.0,10.0,21.0,8.0,10.0,20.0,23.0,33.0,11.0,4.0,9.0,7.0,45.0,42.0,49.0,35.0,34.0,33.0,27.0,26.0,39.0,43.0,47.0,37.0,36.0,33.0,43.0,39.0,35.0,36.0,36.0,47.0,29.0,19.0,30.0,31.0,22.0,15.0,23.0,35.0,23.0,33.0,11.0
2021-06-01 11:00:00,11.0,4.0,5.0,5.0,2.0,38.0,31.0,18.0,38.0,40.0,35.0,47.0,51.0,54.0,83.0,27.0,27.0,32.0,56.0,59.0,88.0,49.0,48.0,48.0,30.0,44.0,48.0,45.0,61.0,63.0,44.0,45.0,68.0,40.0,53.0,32.0,55.0,72.0,48.0,34.0,44.0,44.0,26.9,29.53,22.69,30.16,9.0,26.37,69.0,19.35,30.86,25.58,32.54,25.48,28.82,2.1,1.5,1.0,53.1,1.8,0.9,0.4,0.3,0.2,0.1,0.6,0.1,0.2,,0.4,0.2,0.2,12.0,15.0,24.0,11.0,11.0,12.0,0.1,10.0,0.3,8.0,16.0,14.0,10.0,10.0,17.0,5.0,9.0,7.0,15.0,22.0,11.0,6.0,9.0,7.0,38.0,37.0,52.0,33.0,32.0,30.0,2.0,28.0,14.0,32.0,36.0,41.0,28.0,30.0,43.0,32.0,39.0,21.0,31.0,39.0,31.0,25.0,31.0,34.0,22.0,7.0,25.0,37.0,28.0,41.0,17.0
2021-06-01 12:00:00,11.0,4.0,5.0,4.0,2.0,41.0,37.0,8.0,46.0,40.0,35.0,44.0,48.0,60.0,75.0,37.0,31.0,33.0,59.0,56.0,91.0,45.0,29.0,34.0,33.0,49.0,51.0,41.0,81.0,51.0,40.0,42.0,68.0,40.0,77.0,19.0,42.0,64.0,54.0,36.0,38.0,45.0,31.87,36.58,46.79,45.2,38.85,32.61,42.42,53.0,34.45,30.7,38.73,37.53,32.35,1.9,1.6,1.4,57.81,2.0,1.0,0.3,0.2,0.1,0.1,0.5,0.1,0.2,,0.4,6.0,0.3,12.0,13.0,25.0,10.0,5.0,7.0,7.0,11.0,10.0,8.0,24.0,11.0,9.0,9.0,17.0,5.0,19.0,4.0,10.0,17.0,12.0,6.0,6.0,6.0,40.0,36.0,53.0,30.0,21.0,23.0,23.0,32.0,36.0,29.0,44.0,34.0,26.0,28.0,42.0,32.0,48.0,13.0,27.0,38.0,36.0,26.0,29.0,35.0,25.0,7.0,23.0,35.0,24.0,41.0,25.0
2021-06-01 13:00:00,10.0,4.0,5.0,4.0,2.0,47.0,18.0,4.0,34.0,38.0,41.0,42.0,48.0,69.0,70.0,29.0,37.0,37.0,41.0,49.0,86.0,34.0,23.0,16.0,9.0,31.0,26.0,30.0,52.0,32.0,29.0,20.0,46.0,21.0,85.0,16.0,31.0,38.0,63.0,25.0,22.0,43.0,49.86,55.06,64.86,76.65,68.41,54.37,75.55,53.05,65.9,46.54,54.03,60.97,42.74,2.0,1.8,0.9,53.06,2.3,1.0,0.3,0.2,0.1,0.1,0.6,0.1,0.2,,96.94,0.2,0.2,8.0,11.0,24.0,8.0,5.0,3.0,1.0,5.0,5.0,5.0,13.0,5.0,6.0,4.0,9.0,2.0,23.0,3.0,6.0,9.0,14.0,3.0,3.0,5.0,28.0,31.0,50.0,22.0,16.0,11.0,7.0,23.0,20.0,22.0,32.0,25.0,20.0,15.0,33.0,18.0,50.0,11.0,22.0,24.0,42.0,20.0,18.0,35.0,31.0,14.0,18.0,30.0,20.0,44.0,17.0
2021-06-01 14:00:00,10.0,4.0,5.0,4.0,2.0,32.0,11.0,37.0,30.0,30.0,42.0,39.0,4.0,42.0,16.0,18.0,38.0,10.0,29.0,39.0,54.0,23.0,21.0,15.0,6.0,17.0,14.0,18.0,40.0,21.0,26.0,11.0,9.0,11.0,56.0,12.0,18.0,44.0,22.0,9.0,12.0,18.0,71.6,75.55,73.12,86.88,84.24,81.62,94.51,78.15,89.71,61.55,86.25,85.07,83.51,1.4,0.9,1.3,68.66,1.8,0.7,0.3,0.2,0.1,0.1,0.5,0.1,0.2,,0.4,0.2,0.2,5.0,8.0,12.0,4.0,4.0,3.0,1.0,2.0,1.0,2.0,11.0,3.0,6.0,1.0,12.0,1.0,13.0,3.0,3.0,12.0,3.0,1.0,1.0,1.0,21.0,26.0,35.0,17.0,15.0,11.0,5.0,14.0,12.0,15.0,23.0,16.0,17.0,8.0,3.0,9.0,36.0,8.0,13.0,26.0,17.0,7.0,10.0,16.0,16.0,18.0,10.0,26.0,28.0,19.0,6.0
2021-06-01 15:00:00,,4.0,5.0,4.0,2.0,24.0,40.0,35.0,29.0,36.0,35.0,32.0,5.0,17.0,15.0,15.0,35.0,20.0,20.0,42.0,47.0,22.0,20.0,14.0,5.0,14.0,12.0,20.0,36.0,20.0,17.0,11.0,32.0,10.0,51.0,12.0,21.0,45.0,16.0,7.0,11.0,18.0,73.62,80.29,78.34,90.26,90.96,89.58,98.55,84.27,93.91,64.07,93.65,91.51,88.58,1.3,0.7,2.9,69.45,1.3,0.5,0.3,0.2,0.1,0.1,0.4,0.1,0.2,,0.3,0.2,0.3,2.0,9.0,10.0,4.0,4.0,2.0,1.0,1.0,1.0,3.0,8.0,3.0,3.0,1.0,4.0,1.0,11.0,2.0,3.0,10.0,2.0,1.0,1.0,1.0,17.0,28.0,32.0,16.0,14.0,10.0,4.0,12.0,10.0,16.0,23.0,16.0,12.0,9.0,25.0,9.0,35.0,8.0,15.0,29.0,13.0,6.0,9.0,16.0,8.0,16.0,20.0,21.0,30.0,1.0,2.0
2021-06-01 16:00:00,,4.0,5.0,4.0,2.0,24.0,32.0,39.0,24.0,28.0,40.0,17.0,10.0,12.0,13.0,9.0,30.0,21.0,24.0,42.0,30.0,22.0,20.0,13.0,6.0,17.0,11.0,19.0,28.0,22.0,20.0,10.0,28.0,9.0,47.0,13.0,17.0,32.0,16.0,6.0,10.0,17.0,78.92,85.33,82.53,94.25,94.88,92.41,102.9,86.97,99.71,70.74,96.64,96.85,93.91,1.2,0.7,0.6,39.12,1.1,0.5,0.3,0.2,0.1,0.1,0.4,0.1,0.2,,0.3,0.2,0.2,4.0,9.0,6.0,4.0,4.0,2.0,1.0,1.0,1.0,3.0,6.0,4.0,4.0,1.0,4.0,1.0,11.0,2.0,3.0,7.0,2.0,1.0,1.0,1.0,18.0,29.0,20.0,16.0,14.0,9.0,5.0,14.0,10.0,15.0,19.0,16.0,14.0,7.0,22.0,8.0,31.0,10.0,12.0,21.0,13.0,5.0,8.0,15.0,8.0,22.0,14.0,8.0,24.0,1.0,1.0
2021-06-01 17:00:00,8.0,4.0,4.0,4.0,2.0,22.0,12.0,29.0,21.0,31.0,34.0,10.0,35.0,6.0,11.0,18.0,25.0,18.0,19.0,43.0,36.0,17.0,21.0,11.0,9.0,12.0,13.0,20.0,37.0,30.0,19.0,9.0,19.0,8.0,38.0,10.0,14.0,38.0,14.0,6.0,9.0,14.0,77.52,88.9,83.35,94.04,92.73,96.44,101.3,85.07,100.7,72.46,96.01,99.71,94.17,1.4,0.4,0.6,43.97,0.9,0.4,0.3,0.1,0.1,0.1,0.3,0.1,0.2,,0.3,0.2,0.2,3.0,9.0,8.0,3.0,5.0,2.0,2.0,1.0,2.0,2.0,9.0,7.0,4.0,2.0,2.0,1.0,8.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,14.0,29.0,24.0,13.0,14.0,8.0,5.0,11.0,11.0,16.0,22.0,20.0,13.0,7.0,16.0,7.0,26.0,7.0,10.0,25.0,11.0,5.0,7.0,13.0,8.0,16.0,17.0,2.0,16.0,1.0,9.0
2021-06-01 18:00:00,8.0,4.0,4.0,4.0,2.0,8.0,23.0,31.0,17.0,19.0,25.0,1.0,20.0,1.0,13.0,18.0,20.0,8.0,18.0,46.0,41.0,17.0,19.0,13.0,4.0,12.0,8.0,22.0,36.0,20.0,24.0,9.0,17.0,8.0,45.0,10.0,12.0,37.0,14.0,5.0,8.0,16.0,74.2,87.28,82.22,89.36,94.12,88.38,101.0,86.98,98.71,69.58,97.65,97.92,93.28,1.3,0.7,0.4,43.44,0.9,0.3,0.3,0.1,0.1,0.1,0.2,0.1,0.2,,0.3,0.2,0.2,3.0,11.0,9.0,3.0,4.0,3.0,1.0,1.0,1.0,3.0,10.0,3.0,5.0,1.0,2.0,1.0,10.0,2.0,2.0,9.0,2.0,1.0,1.0,1.0,13.0,30.0,28.0,12.0,14.0,9.0,2.0,10.0,7.0,17.0,21.0,15.0,16.0,7.0,14.0,7.0,30.0,7.0,10.0,23.0,12.0,4.0,7.0,14.0,1.0,16.0,6.0,1.0,7.0,1.0,9.0
2021-06-01 19:00:00,7.0,4.0,4.0,4.0,2.0,1.0,22.0,33.0,21.0,12.0,29.0,1.0,20.0,4.0,19.0,7.0,19.0,16.0,17.0,38.0,27.0,18.0,24.0,14.0,4.0,12.0,8.0,21.0,26.0,22.0,25.0,9.0,23.0,8.0,39.0,10.0,16.0,34.0,16.0,5.0,8.0,16.0,78.34,86.14,82.9,89.63,95.89,85.98,101.2,85.11,98.35,71.19,96.86,97.03,93.1,1.1,0.4,0.6,46.09,0.8,0.3,0.3,0.1,0.1,0.1,0.2,0.1,0.2,,0.3,0.2,0.2,3.0,7.0,5.0,3.0,5.0,3.0,1.0,1.0,1.0,3.0,6.0,4.0,6.0,1.0,2.0,1.0,8.0,2.0,3.0,8.0,2.0,1.0,1.0,1.0,13.0,27.0,19.0,13.0,16.0,10.0,2.0,10.0,7.0,17.0,17.0,17.0,15.0,7.0,20.0,7.0,27.0,7.0,12.0,22.0,13.0,4.0,6.0,14.0,1.0,22.0,3.0,1.0,9.0,1.0,1.0
