,28079008,28079024,28079055
2017-05-01 01:00:00,1.57,1.08,1.15
2017-05-01 02:00:00,1.57,1.13,1.16
2017-05-01 03:00:00,1.58,1.07,1.15
2017-05-01 04:00:00,1.58,1.07,1.15
2017-05-01 05:00:00,1.57,1.12,1.15
2017-05-01 06:00:00,1.57,1.1,1.15
2017-05-01 07:00:00,1.57,1.12,1.17
2017-05-01 08:00:00,1.58,1.12,1.22
2017-05-01 09:00:00,1.58,1.07,1.32
2017-05-01 10:00:00,1.6,1.06,1.23
2017-05-01 11:00:00,1.62,1.08,1.17
2017-05-01 12:00:00,1.62,1.02,1.17
2017-05-01 13:00:00,1.62,1.03,1.18
2017-05-01 14:00:00,1.62,1.1,1.18
2017-05-01 15:00:00,1.61,1.0,1.19
2017-05-01 16:00:00,1.59,1.02,1.2
2017-05-01 17:00:00,1.59,1.05,1.21
2017-05-01 18:00:00,1.58,0.99,1.21
2017-05-01 19:00:00,1.57,1.0,1.2
2017-05-01 20:00:00,1.57,1.04,1.24
2017-05-01 21:00:00,1.58,0.94,1.23
2017-05-01 22:00:00,1.62,0.96,1.44
2017-05-01 23:00:00,1.65,1.02,1.57
2017-05-02 00:00:00,1.66,0.96,1.53
2017-05-02 01:00:00,1.7,0.97,1.53
2017-05-02 02:00:00,1.71,1.05,1.39
2017-05-02 03:00:00,1.71,0.99,1.28
2017-05-02 04:00:00,1.76,1.06,1.3
2017-05-02 05:00:00,1.67,1.15,1.27
2017-05-02 06:00:00,1.66,1.12,1.27
2017-05-02 07:00:00,1.68,1.1,1.28
2017-05-02 08:00:00,1.69,1.15,1.38
2017-05-02 09:00:00,1.69,1.1,1.35
2017-05-02 10:00:00,1.66,1.06,1.35
2017-05-02 11:00:00,1.69,1.08,1.32
2017-05-02 12:00:00,1.69,0.99,1.29
2017-05-02 13:00:00,1.66,1.03,1.22
2017-05-02 14:00:00,1.68,1.13,1.23
2017-05-02 15:00:00,1.67,1.01,1.24
2017-05-02 16:00:00,1.63,1.01,1.28
2017-05-02 17:00:00,1.59,1.06,1.25
2017-05-02 18:00:00,1.58,0.99,1.22
2017-05-02 19:00:00,1.56,0.98,1.2
2017-05-02 20:00:00,1.58,1.06,1.21
2017-05-02 21:00:00,1.59,0.95,1.22
2017-05-02 22:00:00,1.7,0.84,1.21
2017-05-02 23:00:00,2.13,0.84,1.27
2017-05-03 00:00:00,2.04,0.71,1.41
2017-05-03 01:00:00,1.85,0.77,1.26
2017-05-03 02:00:00,1.64,0.9,1.23
2017-05-03 03:00:00,1.59,0.77,1.23
2017-05-03 04:00:00,1.57,0.83,1.18
2017-05-03 05:00:00,1.57,0.96,1.18
2017-05-03 06:00:00,1.57,0.9,1.2
2017-05-03 07:00:00,1.59,0.93,1.22
2017-05-03 08:00:00,1.64,1.04,1.3
2017-05-03 09:00:00,1.69,0.97,1.25
2017-05-03 10:00:00,1.72,0.92,1.21
2017-05-03 11:00:00,1.65,0.98,1.21
2017-05-03 12:00:00,1.63,0.91,1.2
2017-05-03 13:00:00,1.64,0.94,1.2
2017-05-03 14:00:00,1.71,1.08,1.22
2017-05-03 15:00:00,1.62,1.01,1.28
2017-05-03 16:00:00,1.59,1.01,1.22
2017-05-03 17:00:00,1.58,1.07,1.21
2017-05-03 18:00:00,1.57,1.01,1.19
2017-05-03 19:00:00,1.58,0.98,1.19
2017-05-03 20:00:00,1.59,1.03,1.21
2017-05-03 21:00:00,1.59,0.94,1.24
2017-05-03 22:00:00,1.62,0.86,1.27
2017-05-03 23:00:00,1.83,0.91,1.34
2017-05-04 00:00:00,1.94,0.81,1.69
2017-05-04 01:00:00,1.97,0.77,1.68
2017-05-04 02:00:00,2.09,0.95,1.51
2017-05-04 03:00:00,2.65,1.48,1.5
2017-05-04 04:00:00,2.34,2.07,1.38
2017-05-04 05:00:00,2.09,1.43,1.47
2017-05-04 06:00:00,1.69,1.28,1.4
2017-05-04 07:00:00,1.68,1.11,1.37
2017-05-04 08:00:00,1.72,1.13,1.37
2017-05-04 09:00:00,1.75,1.07,1.37
2017-05-04 10:00:00,1.72,1.25,1.23
2017-05-04 11:00:00,1.67,1.17,1.2
2017-05-04 12:00:00,1.62,0.93,1.2
2017-05-04 13:00:00,1.65,0.9,1.21
2017-05-04 14:00:00,1.67,0.99,1.21
2017-05-04 15:00:00,1.78,0.87,1.23
2017-05-04 16:00:00,1.88,0.9,1.23
2017-05-04 17:00:00,1.88,1.1,1.2
2017-05-04 18:00:00,1.71,1.02,1.19
2017-05-04 19:00:00,1.63,0.96,1.19
2017-05-04 20:00:00,1.69,0.98,1.21
2017-05-04 21:00:00,1.79,0.89,1.24
2017-05-04 22:00:00,1.79,0.78,1.35
2017-05-04 23:00:00,1.79,0.78,1.44
2017-05-05 00:00:00,1.86,0.57,1.41
2017-05-05 01:00:00,1.83,0.54,1.36
2017-05-05 02:00:00,1.75,0.8,1.27
2017-05-05 03:00:00,1.67,0.66,1.21
2017-05-05 04:00:00,1.63,0.66,1.24
2017-05-05 05:00:00,1.63,0.88,1.22
2017-05-05 06:00:00,2.11,0.81,1.22
2017-05-05 07:00:00,2.03,1.05,1.26
2017-05-05 08:00:00,1.94,1.05,1.3
2017-05-05 09:00:00,2.1,0.81,1.34
2017-05-05 10:00:00,1.76,0.82,1.44
2017-05-05 11:00:00,1.64,1.0,1.21
2017-05-05 12:00:00,1.66,0.98,1.2
2017-05-05 13:00:00,1.59,0.99,1.17
2017-05-05 14:00:00,1.6,1.08,1.17
2017-05-05 15:00:00,1.57,1.07,1.17
2017-05-05 16:00:00,1.58,1.12,1.16
2017-05-05 17:00:00,1.58,1.1,1.16
2017-05-05 18:00:00,1.57,1.06,1.16
2017-05-05 19:00:00,1.57,1.06,1.16
2017-05-05 20:00:00,1.59,1.1,1.16
2017-05-05 21:00:00,1.6,1.1,1.16
2017-05-05 22:00:00,1.59,1.12,1.15
2017-05-05 23:00:00,1.59,1.09,1.15
2017-05-06 00:00:00,1.58,1.0,1.16
2017-05-06 01:00:00,1.57,1.0,1.15
2017-05-06 02:00:00,1.57,1.06,1.15
2017-05-06 03:00:00,1.56,1.0,1.15
2017-05-06 04:00:00,1.57,1.02,1.15
2017-05-06 05:00:00,1.57,1.07,1.15
2017-05-06 06:00:00,1.55,1.02,1.14
2017-05-06 07:00:00,1.56,0.97,1.15
2017-05-06 08:00:00,1.56,1.02,1.16
2017-05-06 09:00:00,1.58,0.96,1.17
2017-05-06 10:00:00,1.58,0.96,1.17
2017-05-06 11:00:00,1.58,1.04,1.18
2017-05-06 12:00:00,1.57,0.99,1.17
2017-05-06 13:00:00,1.57,1.01,1.18
2017-05-06 14:00:00,1.6,1.06,1.18
2017-05-06 15:00:00,1.57,1.0,1.17
2017-05-06 16:00:00,1.58,0.96,1.17
2017-05-06 17:00:00,1.58,1.05,1.18
2017-05-06 18:00:00,1.58,1.01,1.18
2017-05-06 19:00:00,1.58,1.01,1.18
2017-05-06 20:00:00,1.59,1.04,1.18
2017-05-06 21:00:00,1.6,0.96,1.18
2017-05-06 22:00:00,1.62,0.86,1.18
2017-05-06 23:00:00,1.63,0.92,1.19
2017-05-07 00:00:00,1.64,0.85,1.19
2017-05-07 01:00:00,1.65,0.8,1.2
2017-05-07 02:00:00,1.69,0.96,1.27
2017-05-07 03:00:00,1.69,0.9,1.33
2017-05-07 04:00:00,1.63,0.94,1.32
2017-05-07 05:00:00,1.62,1.04,1.37
2017-05-07 06:00:00,1.62,1.0,1.41
2017-05-07 07:00:00,1.66,0.99,1.27
2017-05-07 08:00:00,1.66,1.11,1.39
2017-05-07 09:00:00,1.62,1.02,1.31
2017-05-07 10:00:00,1.64,0.88,1.26
2017-05-07 11:00:00,1.62,0.94,1.19
2017-05-07 12:00:00,1.59,0.93,1.17
2017-05-07 13:00:00,1.58,0.93,1.17
2017-05-07 14:00:00,1.58,0.98,1.17
